iter	Passed	Remaining
0	15	15495
1	32	16059
2	50	16854
3	94	23609
4	136	27107
5	166	27659
6	195	27799
7	225	27998
8	300	33121
9	321	31797
10	345	31080
11	366	30209
12	443	33656
13	468	33021
14	484	31820
15	523	32186
16	538	31156
17	558	30453
18	577	29817
19	595	29171
20	615	28675
21	632	28106
22	650	27615
23	695	28263
24	726	28351
25	754	28255
26	789	28445
27	818	28413
28	838	28065
29	857	27711
30	878	27473
31	913	27626
32	942	27613
33	962	27347
34	983	27113
35	1006	26938
36	1026	26721
37	1049	26576
38	1067	26309
39	1084	26020
40	1100	25751
41	1118	25507
42	1135	25261
43	1152	25050
44	1171	24857
45	1193	24760
46	1216	24672
47	1257	24938
48	1277	24800
49	1299	24693
50	1333	24808
51	1362	24838
52	1385	24762
53	1411	24734
54	1444	24820
55	1467	24736
56	1490	24652
57	1514	24605
58	1539	24550
59	1563	24488
60	1594	24538
61	1621	24537
62	1649	24533
63	1672	24460
64	1697	24417
65	1735	24556
66	1762	24538
67	1788	24509
68	1826	24645
69	1853	24630
70	1882	24635
71	1908	24596
72	1934	24563
73	1963	24571
74	1993	24586
75	2022	24586
76	2060	24701
77	2106	24897
78	2133	24876
79	2162	24867
80	2189	24835
81	2215	24808
82	2246	24815
83	2275	24813
84	2307	24843
85	2335	24816
86	2361	24778
87	2386	24731
88	2411	24682
89	2441	24686
90	2471	24690
91	2498	24663
92	2527	24646
93	2554	24622
94	2580	24584
95	2605	24535
96	2632	24506
97	2660	24488
98	2687	24455
99	2718	24465
100	2751	24489
101	2781	24483
102	2809	24468
103	2838	24453
104	2864	24419
105	2890	24382
106	2919	24368
107	2953	24397
108	2986	24409
109	3029	24509
110	3060	24515
111	3093	24524
112	3120	24493
113	3150	24482
114	3188	24536
115	3233	24641
116	3262	24622
117	3294	24626
118	3332	24671
119	3364	24675
120	3400	24705
121	3449	24825
122	3493	24905
123	3521	24878
124	3553	24877
125	3600	24977
126	3630	24958
127	3664	24961
128	3693	24935
129	3722	24913
130	3750	24877
131	3781	24863
132	3811	24843
133	3843	24838
134	3875	24833
135	3908	24832
136	3942	24833
137	3977	24844
138	4022	24918
139	4059	24936
140	4113	25062
141	4152	25092
142	4191	25120
143	4231	25154
144	4270	25184
145	4311	25216
146	4344	25211
147	4385	25245
148	4420	25249
149	4466	25311
150	4504	25328
151	4542	25339
152	4578	25348
153	4616	25361
154	4662	25420
155	4698	25420
156	4741	25457
157	4780	25476
158	4813	25459
159	4843	25426
160	4884	25451
161	4915	25429
162	4949	25417
163	5024	25612
164	5109	25855
165	5208	26168
166	5250	26191
167	5291	26204
168	5328	26199
169	5376	26247
170	5403	26193
171	5447	26223
172	5477	26182
173	5503	26125
174	5527	26057
175	5551	25991
176	5579	25943
177	5603	25874
178	5629	25821
179	5659	25783
180	5689	25746
181	5716	25692
182	5744	25645
183	5777	25621
184	5819	25638
185	5850	25604
186	5882	25576
187	5924	25588
188	5955	25555
189	5985	25517
190	6030	25544
191	6078	25578
192	6116	25576
193	6152	25561
194	6189	25550
195	6228	25548
196	6262	25526
197	6303	25532
198	6344	25538
199	6388	25552
200	6420	25523
201	6453	25494
202	6478	25434
203	6513	25413
204	6537	25354
205	6566	25310
206	6600	25286
207	6630	25246
208	6660	25207
209	6685	25148
210	6732	25175
211	6807	25301
212	6847	25298
213	6885	25288
214	6914	25246
215	6954	25244
216	6978	25181
217	7005	25129
218	7034	25085
219	7065	25050
220	7089	24991
221	7117	24943
222	7150	24915
223	7175	24857
224	7202	24807
225	7229	24759
226	7257	24715
227	7288	24679
228	7323	24657
229	7356	24628
230	7391	24606
231	7424	24576
232	7459	24555
233	7508	24577
234	7539	24542
235	7572	24513
236	7608	24495
237	7639	24458
238	7695	24502
239	7739	24509
240	7770	24473
241	7836	24544
242	7869	24514
243	7900	24478
244	7926	24425
245	7957	24389
246	8002	24397
247	8052	24416
248	8082	24376
249	8107	24323
250	8138	24285
251	8168	24245
252	8200	24212
